back_density,positive_density,Bback,BaD,intercellHnc,intercellSnc,intercellVnc,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Area,Eccen,Round,Centroid_1,Centroid_2,Mayor_ellipse,Minor_ellipse,Orien_Angle,Perimeter,text_contrast_1,text_contrast_2,text_homogenety_1,text_homogenety_2,hValue,vValue,sValue,T_clusters,A_clusters,centr_dist,meanIpar_H,meanIpar_S,meanIpar_V,Ppar,Bpar,Bapar,Epar
0.0622222222222222,0.145555555555556,0,0.713333333333333,0.83027898620195,0.136187132608039,0.849292434789261,0.0188888888888889,0.0155555555555556,0.378888888888889,0.586666666666667,488,410,2,0,0,0.0966666666666667,0.337777777777778,0.565555555555556,74,0.905622989167966,0.643644176955454,5.55405405405405,34.8108108108108,16.2106745090965,6.87468314802532,45.7205130184259,38.01,2.06293706293706,1.5037037037037,0.743589743589744,0.79320987654321,0.778990564040983,0.251149091997857,0.649174093879976,0,0,0,0.877562538486153,0.224726206848024,0.800609109915938,0.278240203857422,0.222633361816406,0.498332977294922,0.388500213623047
0.0622222222222222,0.145555555555556,0,0.713333333333333,0.83027898620195,0.136187132608039,0.849292434789261,0.0188888888888889,0.0155555555555556,0.378888888888889,0.586666666666667,488,410,2,0,0,0.0966666666666667,0.337777777777778,0.565555555555556,73,0.857962956738412,0.90532574743234,5.27397260273973,57.0684931506849,13.8073149776671,7.09297728953712,40.6039915399996,31.832,1.54545454545455,1.01010101010101,0.699494949494949,0.750841750841751,0.781133437341622,0.317735872715672,0.579711554043105,0,0,0,0.877562538486153,0.224726206848024,0.800609109915938,0.278240203857422,0.222633361816406,0.498332977294922,0.388500213623047
0.0544444444444444,0.33,0,0.472222222222222,0.871793899949941,0.19976155800553,0.780983969043671,0.00111111111111111,0,0.456666666666667,0.542222222222222,148,744,8,0,0,0.106666666666667,0.691111111111111,0.202222222222222,249,0.606419896340606,0.95728761680158,7.86345381526104,186.068273092369,20.2366814800747,16.0910876752039,68.6509265667455,57.172,1.16608996539792,1.34035087719298,0.77520184544406,0.724093567251462,0.790648799852716,0.348270663272248,0.549165300795241,0,0,0,0.877562538486153,0.224726206848024,0.800609109915938,0.278240203857422,0.222633361816406,0.498332977294922,0.388500213623047
0.00222222222222222,0.356666666666667,0,0.357777777777778,0.838862091657296,0.200318209948017,0.724142368519083,0,0,0.652222222222222,0.347777777777778,102,798,0,0,0,0.0111111111111111,0.95,0.0388888888888889,171,0.967808120441089,0.403778765034276,3.85964912280702,225.345029239766,33.7146143454784,8.48560355016787,-84.8601530937934,72.951,1.53333333333333,2.67241379310345,0.806666666666667,0.73441091954023,0.803589681106549,0.272576619798359,0.626112237998648,0,0,0,0.877562538486153,0.224726206848024,0.800609109915938,0.278240203857422,0.222633361816406,0.498332977294922,0.388500213623047
0.428888888888889,0.0311111111111111,0,0.438888888888889,0.89842024502588,0.225225208831738,0.848970138514121,0.00222222222222222,0,0.152222222222222,0.845555555555556,187,713,0,0,0,0.00444444444444444,0.364444444444444,0.631111111111111,28,0.913661501102209,0.823783362345941,2.10714285714286,281.892857142857,10.0026930227454,4.06585369957235,-83.1448608276734,20.667,2.28125,3.35,0.796875,0.704166666666667,0.796360635332562,0.31833510300791,0.569607843137255,0,0,0,0.877562538486153,0.224726206848024,0.800609109915938,0.278240203857422,0.222633361816406,0.498332977294922,0.388500213623047
0.337777777777778,0.125555555555556,0,0.434444444444444,0.876505454173333,0.214599286746189,0.836524902209931,0.0111111111111111,0.00555555555555556,0.272222222222222,0.711111111111111,237,633,30,0,0,0.122222222222222,0.385555555555556,0.492222222222222,75,0.908895582592063,0.910177383764626,15.3733333333333,153.666666666667,15.3034848436511,6.38191685555771,-0.0210596658110388,32.179,1.35,0.846153846153846,0.663888888888889,0.747863247863248,0.773339791039606,0.450874752482023,0.431241830065359,0,0,0,0.877562538486153,0.224726206848024,0.800609109915938,0.278240203857422,0.222633361816406,0.498332977294922,0.388500213623047
0.134444444444444,0.146666666666667,0,0.571111111111111,0.878327028867188,0.217806690147218,0.787877859477125,0,0,0.274444444444444,0.725555555555556,217,630,53,0,0,0.102222222222222,0.611111111111111,0.286666666666667,151,0.970054083963371,0.344724899940252,25,3.43708609271523,33.3146858837603,8.09177127900181,1.38985856621081,74.192,2.16666666666667,1.79583333333333,0.716753472222222,0.737638888888889,0.81110197169714,0.319002228274955,0.591023284313725,0,0,0,0.877562538486153,0.224726206848024,0.800609109915938,0.278240203857422,0.222633361816406,0.498332977294922,0.388500213623047
0.204444444444444,0.0677777777777778,0,0.592222222222222,0.874544803540092,0.202978327125756,0.809408960246793,0,0,0.233333333333333,0.766666666666667,391,509,0,0,0,0.0333333333333333,0.537777777777778,0.428888888888889,61,0.715380204482208,0.509737386230154,16.2950819672131,140.885245901639,12.3903021160251,8.65754273904695,14.7907620041489,38.779,3.23958333333333,3.33,0.555902777777778,0.679333333333333,0.788027349632183,0.315717359787641,0.597091503267974,0,0,0,0.877562538486153,0.224726206848024,0.800609109915938,0.278240203857422,0.222633361816406,0.498332977294922,0.388500213623047
0.00222222222222222,0.356666666666667,0,0.357777777777778,0.838862091657296,0.200318209948017,0.724142368519083,0,0,0.652222222222222,0.347777777777778,102,798,0,0,0,0.0111111111111111,0.95,0.0388888888888889,209,0.825625413212206,0.70009688484981,19.7416267942584,212.832535885167,24.4848309537268,13.8147980936985,62.7845638596624,61.249,2.55,2.9969696969697,0.741127450980392,0.721818181818182,0.806527674233925,0.273869334056113,0.627608262556359,0,0,0,0.877562538486153,0.224726206848024,0.800609109915938,0.278240203857422,0.222633361816406,0.498332977294922,0.388500213623047
0.333333333333333,0.0977777777777778,0,0.401111111111111,0.86263830783229,0.206771519431032,0.83477735921955,0.01,0.0211111111111111,0.266666666666667,0.702222222222222,269,629,2,0,0,0.0366666666666667,0.425555555555556,0.537777777777778,76,0.685901273123474,0.790430920270063,19.8815789473684,68.5,12.2125830095989,8.88703081435738,48.3655558956076,34.76,2.50833333333333,2.75,0.705138888888889,0.650972222222222,0.812919535211743,0.298226176659786,0.589351851851852,0,0,0,0.877562538486153,0.224726206848024,0.800609109915938,0.278240203857422,0.222633361816406,0.498332977294922,0.388500213623047
